measure,location,sex,age,cause,year,death_rate_per_100k,Code,clean_fuel_access_pct,AveragScore,SafetySecurity,PersonelFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,avg_temp_1991_2020,Continent,temp_category
Deaths,Georgia,Female,All ages,Poisoning by carbon monoxide,2021,0.2170524017726131,GEO,90.9,,,,,,,,,,,,,,9.01,Europe,Colder
Deaths,Georgia,Male,<1 year,Poisoning by carbon monoxide,2021,0.064619096873246,GEO,90.9,,,,,,,,,,,,,,9.01,Europe,Colder
Deaths,Georgia,Female,<1 year,Poisoning by carbon monoxide,2021,0.0939104747732835,GEO,90.9,,,,,,,,,,,,,,9.01,Europe,Colder
Deaths,Uganda,Male,All ages,Poisoning by carbon monoxide,2019,0.1839769781513353,UGA,1.3,,,,,,,,,,,,,,23.25,Africa,Colder
Deaths,Uganda,Female,All ages,Poisoning by carbon monoxide,2019,0.0066514210839297,UGA,1.3,,,,,,,,,,,,,,23.25,Africa,Colder
Deaths,Uganda,Male,<1 year,Poisoning by carbon monoxide,2019,0.3545583711994285,UGA,1.3,,,,,,,,,,,,,,23.25,Africa,Colder
Deaths,Uganda,Female,<1 year,Poisoning by carbon monoxide,2019,0.0039535125811667,UGA,1.3,,,,,,,,,,,,,,23.25,Africa,Colder
Deaths,Gabon,Male,All ages,Poisoning by carbon monoxide,2020,0.0989257975121404,GAB,90.0,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Gabon,Female,All ages,Poisoning by carbon monoxide,2020,0.0011840910694427,GAB,90.0,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Gabon,Male,<1 year,Poisoning by carbon monoxide,2020,0.3770928452394776,GAB,90.0,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Gabon,Female,<1 year,Poisoning by carbon monoxide,2020,0.0040489911347027,GAB,90.0,,,,,,,,,,,,,,25.2,Africa,Warmer
Deaths,Saint Kitts and Nevis,Male,All ages,Poisoning by carbon monoxide,2019,0.0593256297187291,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Saint Kitts and Nevis,Female,All ages,Poisoning by carbon monoxide,2019,0.0030133891382409,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Saint Kitts and Nevis,Male,<1 year,Poisoning by carbon monoxide,2019,0.0324124281836373,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Saint Kitts and Nevis,Female,<1 year,Poisoning by carbon monoxide,2019,0.0042559840897559,KNA,100.0,,,,,,,,,,,,,,27.47,North America,Warmer
Deaths,Congo,Male,All ages,Poisoning by carbon monoxide,2021,0.1106692630166255,,,,,,,,,,,,,,,,24.35,,Warmer
Deaths,Congo,Female,All ages,Poisoning by carbon monoxide,2021,0.0012265541528536,,,,,,,,,,,,,,,,24.35,,Warmer
